account_id,solo_competitive_rank,rank_tier,mmr_estimate,leaderboard_rank,radiant_games,radiant_wins,dire_games,dire_wins,radiant_lose,dire_lose,lane_role_0_games,lane_role_0_wins,lane_role_0_lose,lane_role_1_games,lane_role_1_wins,lane_role_1_lose,lane_role_2_games,lane_role_2_wins,lane_role_2_lose,lane_role_3_games,lane_role_3_wins,lane_role_3_lose,lane_role_4_games,lane_role_4_wins,lane_role_4_lose
88470,7618.0,80.0,7004,16.0,5185,2941,4993,2377,2244,2616,4920,2689,2231,873,451,422,448,217,231,3928,1958,1970,9,3,6
639740,,45.0,3176,,2014,1141,2001,994,873,1007,3585,1912,1673,200,113,87,86,39,47,137,68,69,7,3,4
1296625,6935.0,80.0,5365,168.0,4211,2506,4465,2659,1705,1806,6165,3617,2548,648,419,229,714,443,271,1052,632,420,97,54,43
1400303,,80.0,5862,260.0,654,365,656,352,289,304,540,298,242,200,105,95,491,272,219,79,42,37,0,0,0
1470116,,43.0,3326,,766,394,787,350,372,437,1357,649,708,139,67,72,7,2,5,50,26,24,0,0,0
3916428,7470.0,80.0,7275,,1271,763,1418,817,508,601,1650,1027,623,374,192,182,327,172,155,305,172,133,33,17,16
3940262,6290.0,80.0,7358,253.0,6197,3706,5769,3264,2491,2505,8988,5370,3618,941,497,444,449,230,219,1540,853,687,48,20,28
4281729,,80.0,5544,683.0,6945,3704,7031,3529,3241,3502,5151,2783,2368,3022,1475,1547,1267,614,653,4422,2310,2112,114,51,63
5150808,,80.0,7361,68.0,1841,1117,1592,903,724,689,2049,1258,791,400,221,179,927,514,413,56,26,30,1,1,0
6103402,6187.0,80.0,6505,1227.0,2469,1399,2351,1270,1070,1081,3000,1669,1331,860,498,362,371,192,179,544,281,263,45,29,16
6199147,7042.0,80.0,5353,2244.0,4073,2213,4157,2214,1860,1943,5246,2840,2406,988,502,486,1064,588,476,815,439,376,117,58,59
6922000,7600.0,80.0,7430,295.0,1143,689,1157,670,454,487,1265,770,495,508,273,235,284,170,114,201,122,79,42,24,18
7910302,6766.0,80.0,5890,242.0,3548,2013,3292,1689,1535,1603,3722,2059,1663,1829,977,852,333,179,154,894,460,434,62,27,35
8591574,6179.0,80.0,5176,2049.0,5971,3467,6119,3343,2504,2776,7452,4255,3197,2446,1334,1112,606,311,295,1490,852,638,96,58,38
8712306,8078.0,80.0,6426,517.0,3500,2102,3792,2210,1398,1582,5869,3548,2321,267,153,114,138,83,55,971,505,466,47,23,24
8817047,3867.0,71.0,3849,,4488,2399,4493,2168,2089,2325,6630,3373,3257,1131,582,549,243,120,123,935,471,464,42,21,21
9403474,7868.0,80.0,7003,99.0,4944,2720,4882,2522,2224,2360,5507,3057,2450,896,416,480,1789,893,896,1520,819,701,114,57,57
10366616,8944.0,80.0,7675,50.0,6937,4398,6205,3617,2539,2588,5900,3937,1963,1269,729,540,1332,789,543,4572,2519,2053,69,41,28
10511872,,75.0,5862,,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10516239,,80.0,4509,4430.0,3186,1924,3758,2153,1262,1605,5986,3546,2440,470,259,211,257,142,115,223,126,97,8,4,4
11550182,7827.0,80.0,6709,387.0,5374,3015,5400,2885,2359,2515,4899,2825,2074,2997,1537,1460,1469,798,671,1301,683,618,108,57,51
11865327,7713.0,80.0,6416,477.0,5419,3050,5257,2691,2369,2566,6032,3318,2714,2093,1085,1008,2194,1162,1032,337,162,175,20,14,6
12231202,9402.0,80.0,7842,1.0,2857,1646,2916,1579,1211,1337,2778,1587,1191,200,118,82,2717,1478,1239,74,40,34,4,2,2
12335314,3998.0,80.0,4015,4834.0,2903,1514,3132,1597,1389,1535,4081,2109,1972,1542,787,755,153,78,75,217,112,105,42,25,17
12391689,6826.0,80.0,6024,728.0,5758,3252,5853,2991,2506,2862,6020,3342,2678,1975,1054,921,888,431,457,2633,1369,1264,95,47,48
12692042,5404.0,80.0,5872,240.0,2754,1568,2825,1414,1186,1411,1704,917,787,1736,950,786,693,358,335,1408,737,671,38,20,18
14067214,6010.0,80.0,6240,162.0,4442,2619,4680,2635,1823,2045,5357,3026,2331,1130,651,479,821,478,343,1797,1090,707,17,9,8
15272141,6871.0,,5762,854.0,4763,3296,5182,3448,1467,1734,6753,4485,2268,801,574,227,871,593,278,1442,1042,400,78,50,28
16317795,5807.0,80.0,5037,1114.0,3740,2227,4003,2241,1513,1762,6227,3675,2552,714,372,342,287,143,144,475,255,220,40,23,17
16446200,5642.0,80.0,5906,219.0,3224,1838,3233,1714,1386,1519,3254,1752,1502,962,546,416,442,246,196,1774,999,775,25,9,16
16497807,5912.0,80.0,6149,419.0,2521,1638,2449,1410,883,1039,1665,1039,626,1308,799,509,455,273,182,1512,921,591,30,16,14
16769223,,80.0,5361,1614.0,3162,1886,2918,1658,1276,1260,4588,2712,1876,582,338,244,336,185,151,541,291,250,33,18,15
16795361,5834.0,80.0,5446,1064.0,2891,1634,3185,1717,1257,1468,4389,2450,1939,899,479,420,561,297,264,179,104,75,48,21,27
18180970,6648.0,80.0,6140,111.0,3476,2052,3577,1938,1424,1639,2804,1732,1072,1251,694,557,938,502,436,1937,998,939,123,64,59
18565955,5101.0,80.0,4770,442.0,3599,2115,3839,2141,1484,1698,3158,1756,1402,1611,947,664,1209,696,513,1390,825,565,70,32,38
19195168,6434.0,80.0,5435,4483.0,5339,3024,5086,2600,2315,2486,6769,3750,3019,1344,687,657,1433,720,713,813,434,379,66,33,33
19672354,,80.0,7918,134.0,1098,681,1203,721,417,482,944,570,374,853,527,326,250,153,97,233,141,92,21,11,10
20321748,,80.0,6292,272.0,9319,5138,8653,4509,4181,4144,9751,5402,4349,1442,714,728,3459,1826,1633,3212,1653,1559,108,52,56
20356581,6641.0,80.0,5023,4207.0,4851,2556,5276,2720,2295,2556,6485,3340,3145,985,520,465,843,434,409,1760,954,806,54,28,26
20603135,6762.0,80.0,5681,866.0,7605,4155,7800,3932,3450,3868,6976,3657,3319,2915,1514,1401,4546,2432,2114,900,449,451,68,35,33
20652618,5324.0,80.0,4788,3803.0,3034,1777,3220,1759,1257,1461,4682,2703,1979,334,184,150,245,120,125,969,517,452,24,12,12
21270361,6215.0,80.0,6518,143.0,6654,3602,6847,3369,3052,3478,8249,4305,3944,1960,1013,947,699,307,392,2541,1319,1222,52,27,25
21289303,,80.0,6519,169.0,3553,2082,3908,2279,1471,1629,5359,3148,2211,902,532,370,989,565,424,201,110,91,10,6,4
21487219,3261.0,42.0,3045,,1969,1064,1947,967,905,980,2794,1481,1313,502,257,245,379,181,198,222,102,120,19,10,9
21604967,,80.0,5206,768.0,3166,2194,3658,2580,972,1078,5181,3617,1564,717,517,200,317,221,96,489,328,161,120,91,29
23589642,6761.0,80.0,5625,510.0,3031,1652,3023,1531,1379,1492,2857,1503,1354,1282,653,629,1038,540,498,686,374,312,191,113,78
23883296,7004.0,80.0,5792,664.0,7610,4616,5754,3276,2994,2478,9996,6053,3943,1295,673,622,1173,655,518,849,484,365,51,27,24
23900288,5309.0,80.0,5081,753.0,4848,2565,4716,2347,2283,2369,7076,3623,3453,1112,567,545,954,497,457,409,219,190,13,6,7
24009418,8424.0,80.0,7202,234.0,5911,3470,5317,2867,2441,2450,7784,4533,3251,695,356,339,815,416,399,1870,1004,866,64,28,36
24935423,,80.0,4792,2457.0,5628,3237,5597,2917,2391,2680,8967,4952,4015,1192,624,568,220,119,101,817,442,375,29,17,12
